id,emergency_flag,end_time,imbalance_price_flag,imbalance_price_tag,net_imbalance_volume,net_imbalance_volume_tag,no_marginal_flag,participant_name,pboa,price_average_reference_tag,qboa,rank,resource_name,row_id,so_flag,start_time,trade_date,from_file,uploaded_date
7143954,1,2022-04-25T15:55:00,0,0,40.954,1,0,PT_500045,250.07,0,0.671,23,GU_500822,63,0,2022-04-25T15:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251550.xml,2022-04-26 01:00:00.437257
7143953,1,2022-04-25T15:55:00,0,0,40.954,1,0,PT_500045,250.07,0,0.671,23,GU_500822,62,0,2022-04-25T15:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251550.xml,2022-04-26 01:00:00.437257
7143890,1,2022-04-25T15:50:00,0,0,40.116,1,0,PT_500045,250.07,0,3.898,23,GU_500822,64,0,2022-04-25T15:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251545.xml,2022-04-26 01:00:00.437257
7143889,1,2022-04-25T15:50:00,0,0,40.116,1,0,PT_500045,250.07,0,3.898,23,GU_500822,63,0,2022-04-25T15:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251545.xml,2022-04-26 01:00:00.437257
7143888,1,2022-04-25T15:50:00,0,0,40.116,1,0,PT_500045,250.07,0,3.898,23,GU_500822,62,0,2022-04-25T15:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251545.xml,2022-04-26 01:00:00.437257
7143887,1,2022-04-25T15:50:00,0,0,40.116,1,0,PT_500045,250.07,0,3.852,22,GU_500822,61,0,2022-04-25T15:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251545.xml,2022-04-26 01:00:00.437257
7143886,1,2022-04-25T15:50:00,0,0,40.116,1,0,PT_500045,250.07,0,3.852,22,GU_500822,60,0,2022-04-25T15:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251545.xml,2022-04-26 01:00:00.437257
7143885,1,2022-04-25T15:50:00,0,0,40.116,1,0,PT_500045,250.07,0,3.852,22,GU_500822,59,0,2022-04-25T15:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251545.xml,2022-04-26 01:00:00.437257
7143826,1,2022-04-25T14:50:00,0,0,26.578,1,0,PT_500045,250.07,0,3.852,27,GU_500822,47,1,2022-04-25T14:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251445.xml,2022-04-26 01:00:00.437257
7143825,1,2022-04-25T14:50:00,0,0,26.578,1,0,PT_500045,250.07,0,3.852,27,GU_500822,46,1,2022-04-25T14:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251445.xml,2022-04-26 01:00:00.437257
7143824,1,2022-04-25T14:50:00,0,0,26.578,1,0,PT_500045,250.07,0,3.898,26,GU_500822,45,1,2022-04-25T14:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251445.xml,2022-04-26 01:00:00.437257
7143823,1,2022-04-25T14:50:00,0,0,26.578,1,0,PT_500045,250.07,0,3.898,26,GU_500822,44,1,2022-04-25T14:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251445.xml,2022-04-26 01:00:00.437257
7143779,1,2022-04-25T12:55:00,0,1,17.083,1,0,PT_500045,250.07,1,0.671,14,GU_500822,27,1,2022-04-25T12:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251250.xml,2022-04-26 01:00:00.437257
7143778,1,2022-04-25T12:55:00,0,0.31,17.083,1,0,PT_500045,250.07,0.31,7.079,13,GU_500822,26,1,2022-04-25T12:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251250.xml,2022-04-26 01:00:00.437257
7143752,1,2022-04-25T13:25:00,0,0,14.292,0,0,PT_500045,250.07,0,7.079,26,GU_500822,30,1,2022-04-25T13:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251320.xml,2022-04-26 01:00:00.437257
7143751,1,2022-04-25T13:25:00,0,0,14.292,0,0,PT_500045,250.07,0,0.671,25,GU_500822,29,1,2022-04-25T13:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251320.xml,2022-04-26 01:00:00.437257
7143722,1,2022-04-25T13:55:00,0,0,26.214,1,0,PT_500045,250.07,0,7.079,12,GU_500822,33,1,2022-04-25T13:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251350.xml,2022-04-26 01:00:00.437257
7143721,1,2022-04-25T13:55:00,0,0,26.214,1,0,PT_500045,250.07,0,7.079,12,GU_500822,32,1,2022-04-25T13:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251350.xml,2022-04-26 01:00:00.437257
7143720,1,2022-04-25T13:55:00,0,0,26.214,1,0,PT_500045,250.07,0,0.671,11,GU_500822,31,1,2022-04-25T13:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251350.xml,2022-04-26 01:00:00.437257
7143719,1,2022-04-25T13:55:00,0,0,26.214,1,0,PT_500045,250.07,0,0.671,11,GU_500822,30,1,2022-04-25T13:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251350.xml,2022-04-26 01:00:00.437257
7143689,1,2022-04-25T14:45:00,0,0,25.764,1,0,PT_500045,250.07,0,5.36,28,GU_500822,46,1,2022-04-25T14:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251440.xml,2022-04-26 01:00:00.437257
7143688,1,2022-04-25T14:45:00,0,0,25.764,1,0,PT_500045,250.07,0,5.36,28,GU_500822,45,1,2022-04-25T14:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251440.xml,2022-04-26 01:00:00.437257
7143687,1,2022-04-25T14:45:00,0,0,25.764,1,0,PT_500045,250.07,0,2.39,27,GU_500822,44,1,2022-04-25T14:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251440.xml,2022-04-26 01:00:00.437257
7143686,1,2022-04-25T14:45:00,0,0,25.764,1,0,PT_500045,250.07,0,2.39,27,GU_500822,43,1,2022-04-25T14:40:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251440.xml,2022-04-26 01:00:00.437257
7143643,1,2022-04-25T14:05:00,0,0,28.042,1,0,PT_500045,250.07,0,7.272,17,GU_500822,38,1,2022-04-25T14:00:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251400.xml,2022-04-26 01:00:00.437257
7143642,1,2022-04-25T14:05:00,0,0,28.042,1,0,PT_500045,250.07,0,0.478,16,GU_500822,37,1,2022-04-25T14:00:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251400.xml,2022-04-26 01:00:00.437257
7143605,1,2022-04-25T13:30:00,0,0,14.263,0,0,PT_500045,250.07,0,7.75,24,GU_500822,28,1,2022-04-25T13:25:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251325.xml,2022-04-26 01:00:00.437257
7143577,1,2022-04-25T12:40:00,0,1,17.148,1,0,PT_500045,250.07,1,1.434,17,GU_500822,33,1,2022-04-25T12:35:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251235.xml,2022-04-26 01:00:00.437257
